tweet_id,customer_message,brand_reply,intent
634059,@115888 @SpotifyCares I have exceeded my download limit and many of my songs are being deleted to make room for new ones. Any news on getting more storage on mobile version? Should I consider a reset?,"@270319 Hi there! No worries, we'll be sure to let the right team know about your feedback. You can also vote for the idea here: https://t.co/8OOl8AKGHz /XF",playback_issue
153788,"@SpotifyCares - Guys! What is the possibility of changing my Spotify name to R3DD L so it matches my username and artist name? Currently, it shows my personal name. https://t.co/W22fkIK2mO","@151210 Hey Lewis, help's here! Can you DM us your account's username and email address? We'll check it out and see what we can do 🔍 /LX https://t.co/ldFdZRiNAt",connectivity_device
1517694,@SpotifyCares United States!,"@472114 Fingers crossed we'll be able to have all of their songs soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /CH",general_inquiry
1310690,@SpotifyCares Wondering why the Big K.R.I.T album 4 Eva is a mighty long time isn’t on Spotify UK yet? It’s out in North America!,@426287 Hi! This could be due to licensing issues. Hopefully we'll be able to have it in your area soon. More info here: https://t.co/0i8GpimuDa /AR,connectivity_device
1211397,@SpotifyCares apparently there are 3 C-Jay's now. maybe you can tag them as C-Jay (USA) or something like that? to avoid confusion?,@404328 1: Hmm. We’d suggest reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up.,general_inquiry
780094,@SpotifyCares Yes but I've had to do this for each of my releases. There has to be a better way.,@306255 We understand. Our friends at Artist Services should be able to help you out with this. You can reach them at https://t.co/vOAHhqNTFM /NS,general_inquiry
590123,@115888 @117168 why can’t two people listen to music at the same time .... 10/10 frustrating working out a music schedule,"@259545 Hey there! You can only stream on 1 device at a time. If you're on Premium, you can download your tunes on up to 3 devices then listed on them simultaneously in Offline Mode. Hope that helps /PB",general_inquiry
2603358,@115888 account was hacked and the email address on my account changed. Tried to email your support but have heard nothing back.,@736709 Hi Michael! Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,account_access
513445,@SpotifyCares hello hi i'd like to ask why the nxworries album 'yes lawd' is not on spotify anymore,@238164 Hey Aryana! Can you let us know which country your account is set to? We'll have this checked for you /DD,connectivity_device
2062126,@115888 this is the worst policy ever. I am #Jamless in #Jerusalem https://t.co/GEpvxMPgNK,"@609861 Hi Greg, we understand how you feel about it. Could you DM us your account's email address or username? We'll check things out /AY https://t.co/ldFdZRiNAt",general_inquiry
187521,"What's happening to my @115888 :O
cc: @SpotifyCares @117153 https://t.co/Lj5LiaV76g",@160013 Hi there! Can you let us know what's happening exactly? We'll see what we can suggest /PL,general_inquiry
173663,@SpotifyCares does y’all promo that y’all have going on right now (.99¢ per month) go with student accounts also? Trying to decide if I️ want to subscribe or not since y’all also offer Hulu with the student accounts now also!,@156660 Hi there! We're afraid that these offers can't be redeemed with any other deal. We’d recommend taking advantage of these offers once your trial period expires. Hope this clears eveything up /AK,subscription_billing
559993,"Hey @115888 @117168, any way we can get One Vo1ce full discography on there? Would really appreciate it!","@250957 Hey there! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/1dgftcFtzc /TB",general_inquiry
1189541,@SpotifyCares Thank you for solving this!,@399610 No worries! Give us a shout if there's anything else we can help with 🙂 /JL,general_inquiry
1251407,@SpotifyCares Thank you! Already in the midst of responding to you support staff. 😊😊😊 #promptsupport #kudosSpotify,@413572 No worries! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /AN,general_inquiry
2412672,"@SpotifyCares well, after closin apps form PC and phone, I'm able to turn it on again.... strange",@482184 That's great to hear! Give us a shout if the app ever misbehaves again. We'll be right here waiting /DV,general_inquiry
2866588,@SpotifyCares I️ direct messaged you guys my issue. How long will I️t typically take you guys to respond? Thank you,"@578011 Hey, apologies for the delay! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ",general_inquiry
162242,@SpotifyCares I’ve noticed that shuffle hasn’t been working for me lately. It will start on a random song but then just continue through the playlist normally. Any reason?,"@153458 Hey Jarod, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /TB",playback_issue
2602361,@SpotifyCares iOS 11.1.1 happening over both and yeah it happens to downloaded tracks too,"@390911 At this point, we'd suggest that you reinstall the app by following the steps here: https://t.co/EqisDMwZAT. Let us know how it goes /DR",general_inquiry
2056114,@SpotifyCares I need help with my account. My premium membership is not working. I have it connected through síminn.,"@608070 Hey Anastasia, help's here! Could you DM us your email address and username? We'll take a look backstage 🔍 /PX https://t.co/ldFdZRiNAt",account_access
1198671,@SpotifyCares I'm using a Lumia 950 running Windows 10 Mobile (latest version) and the latest Spotify app for Windows Phone / 10 Mobile.,@401644 Thanks! Can you try logging out and back in to the app? Does restarting your device help? /CH,app_crash_or_bug
